Project Name,Package Name,Type Name,Method Name,Code Smell
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,RewritePropertyProcessors,rewrite,Complex Conditional
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,RewritePropertyProcessors,rewrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,RewritePropertyProcessors,map,Complex Conditional
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,RewritePropertyProcessors,map,Complex Conditional
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,RewritePropertyProcessors,map,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,RewritePropertyProcessors,map,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,AbstractRewriteRuleServiceTest,listResourceTypes,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,AbstractRewriteRuleServiceTest,listResourceTypes,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,AbstractRewriteRuleServiceTest,testFind,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,AbstractRewriteRuleServiceTest,testListRules,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,AbstractRewriteRuleServiceTest,testListRules,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,AbstractRewriteRuleServiceTest,testListRules,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testRanking,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testToString,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testSimpleApplyTo,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testReplacementRewriteFinalApplyTo,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testRewriteConsolidatePropertiesApplyTo,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testAggregateApplyTo,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testAggregateApplyTo,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRuleTest,testAggregateApplyTo,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,AbstractRulesServlet,getOriginalPageContent,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServlet,checkPermissions,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServlet,createBuckets,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,ScheduleConversionJobServlet,createTrackingNode,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,AbstractListConversionPathsServletTest,testDoGetSuccess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.servlet,AbstractRulesServletTest,getOriginalPageContentRevisionMissing,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,AbstractRulesServletTest,listRulesSuccess,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.servlet,ComponentRulesServletTest,listPathsSuccess,Magic Number
